Status,Estimated Time
delivered,10/18/2017 0:00
delivered,8/13/2018 0:00
delivered,9/4/2018 0:00
delivered,12/15/2017 0:00
delivered,2/26/2018 0:00
delivered,8/1/2017 0:00
invoiced,5/9/2017 0:00
delivered,6/7/2017 0:00
delivered,3/6/2017 0:00
delivered,8/23/2017 0:00
delivered,6/7/2017 0:00
delivered,8/8/2017 0:00
delivered,7/18/2018 0:00
delivered,8/8/2018 0:00
delivered,3/21/2018 0:00
delivered,7/4/2018 0:00
delivered,2/6/2018 0:00
delivered,1/29/2018 0:00
delivered,12/11/2017 0:00
delivered,11/23/2017 0:00
delivered,9/28/2017 0:00
delivered,3/29/2018 0:00
delivered,2/21/2018 0:00
delivered,2/21/2018 0:00
delivered,8/17/2018 0:00
delivered,3/12/2018 0:00
delivered,7/18/2018 0:00
delivered,3/28/2018 0:00
delivered,5/23/2018 0:00
delivered,4/13/2018 0:00
delivered,8/23/2017 0:00
delivered,5/15/2018 0:00
delivered,1/8/2018 0:00
delivered,3/7/2018 0:00
delivered,8/6/2018 0:00
delivered,3/20/2018 0:00
delivered,3/29/2018 0:00
delivered,8/22/2017 0:00
delivered,7/17/2018 0:00
delivered,4/12/2018 0:00
delivered,6/12/2017 0:00
delivered,12/21/2017 0:00
delivered,9/1/2017 0:00
delivered,9/13/2018 0:00
shipped,6/28/2018 0:00
delivered,6/9/2017 0:00
delivered,6/12/2017 0:00
delivered,5/25/2018 0:00
delivered,8/13/2018 0:00
delivered,8/31/2017 0:00
delivered,2/23/2018 0:00
delivered,7/20/2018 0:00
delivered,8/16/2018 0:00
delivered,1/16/2018 0:00
delivered,9/20/2017 0:00
delivered,7/16/2018 0:00
delivered,7/5/2018 0:00
delivered,4/2/2018 0:00
delivered,3/30/2017 0:00
delivered,7/6/2017 0:00
delivered,12/18/2017 0:00
delivered,8/15/2018 0:00
delivered,12/5/2017 0:00
delivered,3/13/2018 0:00
delivered,5/15/2018 0:00
delivered,2/14/2018 0:00
delivered,3/12/2018 0:00
delivered,7/13/2018 0:00
delivered,6/26/2018 0:00
delivered,8/2/2018 0:00
delivered,9/25/2017 0:00
delivered,5/8/2018 0:00
delivered,3/7/2018 0:00
delivered,3/21/2017 0:00
delivered,5/12/2017 0:00
delivered,10/11/2017 0:00
delivered,8/8/2018 0:00
delivered,8/31/2017 0:00
delivered,8/30/2018 0:00
delivered,8/16/2017 0:00
delivered,1/19/2018 0:00
delivered,4/27/2017 0:00
delivered,6/1/2017 0:00
delivered,5/25/2017 0:00
delivered,11/21/2017 0:00
delivered,1/3/2018 0:00
delivered,9/21/2017 0:00
delivered,3/29/2018 0:00
delivered,6/5/2018 0:00
delivered,2/19/2018 0:00
delivered,5/16/2018 0:00
delivered,10/13/2017 0:00
delivered,5/21/2018 0:00
delivered,1/22/2018 0:00
delivered,5/7/2018 0:00
delivered,8/27/2018 0:00
delivered,6/8/2018 0:00
delivered,12/11/2017 0:00
delivered,4/26/2017 0:00
delivered,7/23/2018 0:00
delivered,8/30/2018 0:00
delivered,6/6/2017 0:00
delivered,8/2/2018 0:00
invoiced,8/21/2018 0:00
delivered,3/26/2018 0:00
delivered,3/7/2018 0:00
delivered,3/10/2017 0:00
delivered,2/26/2018 0:00
delivered,7/25/2017 0:00
delivered,10/16/2017 0:00
delivered,12/22/2017 0:00
delivered,2/19/2018 0:00
delivered,9/5/2018 0:00
delivered,8/10/2018 0:00
delivered,5/29/2018 0:00
delivered,12/19/2017 0:00
delivered,10/17/2017 0:00
delivered,7/10/2017 0:00
delivered,2/21/2018 0:00
delivered,9/13/2018 0:00
delivered,2/21/2018 0:00
delivered,5/4/2018 0:00
delivered,3/29/2018 0:00
delivered,5/23/2018 0:00
delivered,5/12/2017 0:00
delivered,12/15/2017 0:00
delivered,5/14/2018 0:00
delivered,8/4/2017 0:00
processing,10/3/2017 0:00
delivered,12/14/2017 0:00
delivered,10/31/2017 0:00
delivered,8/13/2018 0:00
delivered,1/4/2018 0:00
delivered,4/20/2018 0:00
delivered,2/6/2018 0:00
delivered,3/8/2018 0:00
delivered,7/30/2018 0:00
delivered,4/17/2017 0:00
delivered,7/5/2018 0:00
delivered,7/28/2017 0:00
delivered,6/4/2018 0:00
delivered,7/19/2018 0:00
delivered,10/18/2017 0:00
delivered,3/16/2018 0:00
delivered,1/31/2018 0:00
delivered,5/29/2017 0:00
delivered,12/27/2017 0:00
delivered,5/21/2018 0:00
delivered,6/12/2018 0:00
delivered,12/19/2017 0:00
delivered,12/20/2017 0:00
delivered,8/10/2018 0:00
delivered,3/9/2018 0:00
delivered,6/5/2017 0:00
shipped,2/7/2018 0:00
delivered,6/8/2017 0:00
delivered,8/11/2017 0:00
delivered,7/27/2018 0:00
delivered,7/25/2018 0:00
delivered,4/11/2017 0:00
delivered,11/9/2017 0:00
delivered,1/22/2018 0:00
shipped,6/8/2017 0:00
delivered,3/7/2018 0:00
delivered,7/4/2018 0:00
delivered,8/21/2018 0:00
delivered,12/14/2017 0:00
delivered,5/7/2018 0:00
delivered,8/13/2018 0:00
delivered,7/16/2018 0:00
delivered,12/27/2017 0:00
delivered,4/11/2018 0:00
delivered,7/11/2018 0:00
delivered,9/27/2017 0:00
delivered,4/26/2018 0:00
delivered,2/15/2018 0:00
delivered,5/2/2018 0:00
delivered,10/20/2017 0:00
delivered,4/2/2018 0:00
delivered,5/15/2017 0:00
delivered,9/25/2017 0:00
delivered,2/2/2018 0:00
delivered,4/10/2017 0:00
delivered,1/19/2018 0:00
delivered,1/4/2018 0:00
delivered,8/23/2018 0:00
delivered,4/20/2018 0:00
delivered,6/12/2017 0:00
delivered,7/18/2017 0:00
delivered,8/7/2017 0:00
delivered,8/17/2018 0:00
delivered,8/3/2017 0:00
delivered,4/2/2018 0:00
delivered,7/14/2017 0:00
delivered,3/13/2018 0:00
delivered,5/15/2018 0:00
delivered,6/6/2018 0:00
delivered,8/9/2018 0:00
delivered,8/21/2017 0:00
delivered,7/31/2018 0:00
delivered,3/28/2017 0:00
delivered,2/1/2018 0:00
delivered,8/10/2018 0:00
delivered,5/3/2018 0:00
delivered,2/26/2018 0:00
delivered,6/16/2017 0:00
delivered,12/27/2017 0:00
delivered,12/26/2017 0:00
delivered,6/28/2017 0:00
delivered,10/4/2017 0:00
delivered,7/31/2018 0:00
delivered,7/11/2018 0:00
delivered,6/8/2018 0:00
delivered,3/13/2018 0:00
delivered,6/4/2018 0:00
delivered,8/30/2018 0:00
delivered,5/11/2018 0:00
delivered,10/27/2017 0:00
delivered,3/6/2018 0:00
delivered,12/6/2017 0:00
delivered,2/26/2018 0:00
delivered,2/7/2018 0:00
delivered,6/26/2017 0:00
delivered,4/19/2018 0:00
delivered,8/8/2017 0:00
delivered,5/28/2018 0:00
delivered,8/15/2018 0:00
delivered,5/9/2018 0:00
delivered,5/11/2017 0:00
delivered,1/4/2018 0:00
delivered,5/23/2018 0:00
shipped,12/13/2017 0:00
delivered,1/24/2018 0:00
delivered,1/19/2018 0:00
delivered,3/22/2018 0:00
delivered,4/24/2018 0:00
delivered,2/13/2017 0:00
delivered,12/19/2017 0:00
delivered,1/19/2018 0:00
delivered,4/11/2018 0:00
delivered,12/26/2017 0:00
delivered,5/3/2018 0:00
delivered,5/10/2017 0:00
delivered,2/21/2018 0:00
delivered,5/16/2018 0:00
delivered,7/12/2018 0:00
delivered,7/25/2017 0:00
delivered,2/19/2018 0:00
delivered,2/6/2018 0:00
delivered,3/8/2018 0:00
delivered,4/27/2018 0:00
delivered,3/16/2017 0:00
delivered,3/5/2018 0:00
delivered,7/12/2018 0:00
delivered,12/12/2017 0:00
delivered,2/21/2018 0:00
delivered,3/21/2018 0:00
delivered,2/8/2018 0:00
delivered,3/17/2017 0:00
delivered,7/24/2018 0:00
delivered,8/17/2018 0:00
delivered,10/30/2017 0:00
delivered,5/11/2018 0:00
delivered,2/22/2018 0:00
delivered,7/27/2018 0:00
delivered,12/14/2017 0:00
unavailable,12/5/2017 0:00
delivered,9/27/2017 0:00
delivered,5/30/2018 0:00
delivered,2/6/2018 0:00
delivered,7/13/2018 0:00
delivered,8/2/2018 0:00
delivered,12/18/2017 0:00
delivered,3/23/2018 0:00
delivered,4/16/2018 0:00
delivered,6/28/2018 0:00
delivered,5/24/2018 0:00
delivered,4/5/2018 0:00
delivered,4/3/2018 0:00
delivered,2/20/2018 0:00
delivered,7/4/2018 0:00
delivered,11/27/2017 0:00
delivered,7/31/2018 0:00
